d,t,l
2022-01-24,3,44
2022-01-24,4,31
2022-01-24,5,33
2022-01-24,6,51
2022-01-24,7,80
2022-01-24,8,113
2022-01-24,9,142
2022-01-24,10,161
2022-01-24,11,165
2022-01-24,12,155
2022-01-24,13,133
2022-01-24,14,105
2022-01-24,15,80
2022-01-24,16,62
2022-01-24,17,57
2022-01-24,18,63
2022-01-24,19,80
2022-01-24,20,103
2022-01-24,21,126
2022-01-24,22,141
2022-01-24,23,146
2022-01-25,0,138
2022-01-25,1,120
2022-01-25,2,96
2022-01-25,3,72
2022-01-25,4,55
2022-01-25,5,48
2022-01-25,6,54
2022-01-25,7,73
2022-01-25,8,99
2022-01-25,9,127
2022-01-25,10,149
2022-01-25,11,161
2022-01-25,12,160
2022-01-25,13,146
2022-01-25,14,124
2022-01-25,15,98
2022-01-25,16,74
2022-01-25,17,59
2022-01-25,18,54
2022-01-25,19,60
2022-01-25,20,75
2022-01-25,21,94
2022-01-25,22,114
2022-01-25,23,128
2022-01-26,0,133
2022-01-26,1,130
2022-01-26,2,118
2022-01-26,3,101
2022-01-26,4,83
2022-01-26,5,71
2022-01-26,6,68
2022-01-26,7,74
2022-01-26,8,90
2022-01-26,9,112
2022-01-26,10,133
2022-01-26,11,150
2022-01-26,12,158
2022-01-26,13,155
2022-01-26,14,141
2022-01-26,15,119
2022-01-26,16,94
2022-01-26,17,72
2022-01-26,18,56
2022-01-26,19,49
2022-01-26,20,52
2022-01-26,21,63
2022-01-26,22,80
2022-01-26,23,99
2022-01-27,0,114
2022-01-27,1,125
2022-01-27,2,127
2022-01-27,3,123
2022-01-27,4,112
2022-01-27,5,100
2022-01-27,6,90
2022-01-27,7,86
2022-01-27,8,89
2022-01-27,9,100
2022-01-27,10,117
2022-01-27,11,135
2022-01-27,12,149
2022-01-27,13,156
2022-01-27,14,153
2022-01-27,15,141
2022-01-27,16,120
2022-01-27,17,95
2022-01-27,18,71
2022-01-27,19,52
2022-01-27,20,41
2022-01-27,21,39
2022-01-27,22,47
2022-01-27,23,63
2022-01-28,0,84
2022-01-28,1,104
2022-01-28,2,122
2022-01-28,3,132
2022-01-28,4,134
2022-01-28,5,129
2022-01-28,6,118
2022-01-28,7,106
2022-01-28,8,98
2022-01-28,9,97
2022-01-28,10,103
2022-01-28,11,116
2022-01-28,12,132
2022-01-28,13,147
2022-01-28,14,157
2022-01-28,15,157
2022-01-28,16,146
2022-01-28,17,126
2022-01-28,18,99
2022-01-28,19,70
2022-01-28,20,46
2022-01-28,21,29
2022-01-28,22,23
2022-01-28,23,29
2022-01-29,0,46
2022-01-29,1,71
2022-01-29,2,100
2022-01-29,3,125
2022-01-29,4,143
2022-01-29,5,150
2022-01-29,6,145
2022-01-29,7,133
2022-01-29,8,116
2022-01-29,9,103
2022-01-29,10,96
2022-01-29,11,99
2022-01-29,12,111
2022-01-29,13,129
2022-01-29,14,148
2022-01-29,15,162
2022-01-29,16,165
2022-01-29,17,156
2022-01-29,18,134
2022-01-29,19,103
2022-01-29,20,68
2022-01-29,21,37
2022-01-29,22,14
2022-01-29,23,5
2022-01-30,0,12
2022-01-30,1,33
2022-01-30,2,65
2022-01-30,3,102
2022-01-30,4,135
2022-01-30,5,157
2022-01-30,6,165
2022-01-30,7,159
2022-01-30,8,141
2022-01-30,9,118
2022-01-30,10,99
2022-01-30,11,88
2022-01-30,12,91
2022-01-30,13,105
2022-01-30,14,128
2022-01-30,15,153
2022-01-30,16,171
2022-01-30,17,177
2022-01-30,18,167
2022-01-30,19,141
2022-01-30,20,104
2022-01-30,21,63
2022-01-30,22,25
2022-01-30,23,-1
2022-01-31,0,-11
2022-01-31,1,-1
2022-01-31,2,27
2022-01-31,3,67
2022-01-31,4,110
2022-01-31,5,148
2022-01-31,6,172
2022-01-31,7,177
2022-01-31,8,165
2022-01-31,9,140
2022-01-31,10,112
2022-01-31,11,89
2022-01-31,12,78
2022-01-31,13,82
2022-01-31,14,102
2022-01-31,15,131
2022-01-31,16,161
2022-01-31,17,183
2022-01-31,18,189
2022-01-31,19,175
2022-01-31,20,144
2022-01-31,21,101
2022-01-31,22,54
2022-01-31,23,12
2022-02-01,0,-14
2022-02-01,1,-21
2022-02-01,2,-5
2022-02-01,3,30
2022-02-01,4,77
2022-02-01,5,124
2022-02-01,6,162
2022-02-01,7,182
2022-02-01,8,182
2022-02-01,9,163
2022-02-01,10,132
2022-02-01,11,99
2022-02-01,12,75
2022-02-01,13,67
2022-02-01,14,77
2022-02-01,15,103
2022-02-01,16,138
2022-02-01,17,171
2022-02-01,18,193
2022-02-01,19,196
2022-02-01,20,177
2022-02-01,21,140
2022-02-01,22,92
2022-02-01,23,42
2022-02-02,0,1
2022-02-02,1,-21
2022-02-02,2,-21
2022-02-02,3,2
2022-02-02,4,43
2022-02-02,5,93
2022-02-02,6,140
2022-02-02,7,174
2022-02-02,8,187
